candidate_id,username,name,email,phone,age,field_of_study,education_level,cgpa,skills,experience_months,resume_path,registration_date,preferred_locations,district_type,social_category,gender,past_participation
CAND_7956ED12,Aryan,Seeking,aryanrdalvi111@gmail.com,+91 9653609366,20.0,INFORMATION-TECHNOLOGY,Bachelor's,9.7,"Python, Java, C++, Go, HTML, CSS, React, Node.js, SQL, Git, Data Science, AI, Pandas, NumPy, Operations, API",6,data\Engineering\Aryan_resume.pdf,2025-09-07 23:27:24,,,,,
CAND_C2326324,10554236,"Summary
Financial Accountant",10554236@email.com,,,ACCOUNTANT,Bachelor's,8.525,"Go, AWS, AI, Leadership, Strategy, Finance, Accounting, Operations, Research, Communication, API, REST, SEO",12,data\ACCOUNTANT\10554236.pdf,2025-09-07 23:27:49,,,,,
CAND_CF855068,10674770,"Summary
Highly",10674770@email.com,,,ACCOUNTANT,Bachelor's,2.0,"Go, AI, Sales, Finance, Accounting, Operations, Research, REST",12,data\ACCOUNTANT\10674770.pdf,2025-09-07 23:27:52,,,,,
CAND_6D2C17F0,11163645,"Professional Summary
To",11163645@email.com,2 864-472-7092,,PUBLIC-RELATIONS,Bachelor's,2.0,"Go, AI, Sales, Communication, API",6,data\ACCOUNTANT\11163645.pdf,2025-09-07 23:27:53,,,,,
CAND_D3A57740,11759079,"Experience
Company Name June",11759079@email.com,,,ACCOUNTANT,Bachelor's,9.075,"Go, AI, Sales, Accounting, Analytics, Research, API, REST",6,data\ACCOUNTANT\11759079.pdf,2025-09-07 23:27:54,,,,,
CAND_B202DA71,12065211,"Professional Summary
Senior",12065211@email.com,2001 - 2002,,ACCOUNTANT,Master's,7.5,"Go, SQL, AI, Marketing, Accounting, Operations, Communication, REST, SEO",6,data\ACCOUNTANT\12065211.pdf,2025-09-07 23:27:56,,,,,
CAND_352697A3,12202337,"Career Focus
Accomplished",12202337@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Leadership, Strategy, Finance, Accounting, Research, Communication, API, REST",6,data\ACCOUNTANT\12202337.pdf,2025-09-07 23:27:57,,,,,
CAND_FA5957F7,12338274,"Summary
To",12338274@email.com,,,ACCOUNTANT,Master's,7.5,"Go, Git, AI, Sales, Finance, Accounting, Photoshop, Illustrator",0,data\ACCOUNTANT\12338274.pdf,2025-09-07 23:27:59,,,,,
CAND_D10D1A3A,12442909,"Summary
To",12442909@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Leadership, Finance, Accounting, Operations, Research, Communication, Teamwork, REST",6,data\ACCOUNTANT\12442909.pdf,2025-09-07 23:28:00,,,,,
CAND_9E439661,12780508,"Accomplishments
Military Training Certificate",12780508@email.com,,,FINANCE,Bachelor's,2.0,"Go, AI, Sales, Finance, Accounting, Operations, Research, Communication",12,data\ACCOUNTANT\12780508.pdf,2025-09-07 23:28:02,,,,,
CAND_BB56398D,12802330,Highlights,12802330@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AWS, AI, Sales, Accounting, Operations, Research, Communication",12,data\ACCOUNTANT\12802330.pdf,2025-09-07 23:28:04,,,,,
CAND_3AAF2C5D,13072019,"Career Focus
Dedicated",13072019@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Project Management, Accounting, Research, API, REST",12,data\ACCOUNTANT\13072019.pdf,2025-09-07 23:28:05,,,,,
CAND_23FEAFD9,13130984,"Summary
Innovative Accountant",13130984@email.com,,,FINANCE,Master's,2.0,"Go, AI, Leadership, Finance, Accounting, Operations, Research",6,data\ACCOUNTANT\13130984.pdf,2025-09-07 23:28:06,,,,,
CAND_20A2E51B,13294301,"Professional Summary
Emerging",13294301@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Sales, Finance, Accounting",12,data\ACCOUNTANT\13294301.pdf,2025-09-07 23:28:08,,,,,
CAND_ADFC1AFA,13491889,"Summary
Results",13491889@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AWS, AI, Marketing, Sales, Finance, Accounting, Consulting, Communication",6,data\ACCOUNTANT\13491889.pdf,2025-09-07 23:28:10,,,,,
